"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","SHG","SHA","SHPTS","GWG","ENG","PIM","Active","PPP","PPP_Percentage","RNK"
"Noah Van Vliet","NO",2,2004-02-18,2004,6.03,220,"LD","Sudbury Wolves",39,2,6,8,0.21,-3,0,0,0,0,0,0,0,14,1,0,0,-4
"Matthew Virgilio","NO",25,2006-03-24,2006,5.11,186,"D","Soo Greyhounds",41,2,6,8,0.2,4,0,0,0,0,0,0,1,22,1,0,0,-5
"David Bedkowski","NO",7,2006-12-07,2006,6.04,208,"D","Oshawa Generals",39,1,7,8,0.21,6,0,0,0,0,0,0,0,32,1,0,0,-13.5
"Harry Nansi","YES",21,2007-09-10,2007,6.02,174,"C","Owen Sound Attack",32,0,8,8,0.25,-5,0,0,0,0,0,0,0,4,1,0,0,3
"Connor Federkow","NO",4,2003-07-26,2003,5.1,188,"D","Niagara IceDogs",36,0,8,8,0.22,-10,0,0,0,0,0,0,0,53,1,0,0,-51
"Gavin Ewles","NO",7,2005-03-01,2005,6.01,191,"D","Flint Firebirds",38,0,8,8,0.21,-10,0,2,0,1,1,0,0,18,1,2,25,-16
"Artem Frolov","YES",26,2007-05-05,2007,6,185,"D","Niagara IceDogs",38,0,8,8,0.21,-9,0,0,0,0,0,0,0,14,1,0,0,-11
"Caeden Carlisle","NO",7,2004-01-31,2004,6.02,197,"D","Soo Greyhounds",41,0,8,8,0.2,4,0,1,0,0,0,0,0,35,1,1,12.5,-19
"Dylan Edwards","NO",11,2005-07-20,2005,5.08,162,"RW","Erie Otters",8,7,0,7,0.88,3,0,0,0,0,0,0,0,2,1,0,0,15
"Andrew Vermeulen","NO",79,2006-02-07,2006,6.01,202,"LW","Niagara IceDogs",22,4,3,7,0.32,0,0,0,0,0,0,0,0,9,1,0,0,3.5
"Evan Klein","NO",57,2004-01-12,2004,6.02,206,"LW","Niagara IceDogs",33,4,3,7,0.21,-1,0,0,0,0,0,0,1,32,1,0,0,-20.5
"Lincoln Moore","NO",18,2005-09-21,2005,6.01,205,"RW","Saginaw Spirit",33,4,3,7,0.21,-10,0,0,0,0,0,0,0,9,1,0,0,-6.5
"Ryan Vannetten","NO",13,2004-03-30,2004,5.11,165,"D","Niagara IceDogs",27,3,4,7,0.26,1,0,0,0,0,0,0,0,4,1,0,0,9
"Caden Taylor","YES",19,2007-03-31,2007,6.02,185,"LW","Peterborough Petes",29,3,4,7,0.24,-3,1,0,0,0,0,0,0,16,1,1,14.3,-7
"Caden Kelly","NO",28,2006-01-15,2006,5.11,193,"RW","Ottawa 67's",30,3,4,7,0.23,-7,0,0,0,0,0,0,0,21,1,0,0,-16
"Carter Lowe","NO",85,2006-03-01,2006,6.03,209,"LW","Barrie Colts",32,3,4,7,0.22,-10,2,0,0,0,0,0,0,6,1,2,28.6,-4
"Nathan Omeri","YES",27,2006-06-15,2006,5.11,175,"D","Sarnia Sting",34,3,4,7,0.21,1,0,0,1,0,1,1,0,12,1,0,0,1
"Carter Kostuch","YES",18,2007-04-21,2007,5.11,157,"LW","Sarnia Sting",38,3,4,7,0.18,-11,0,0,0,0,0,0,0,2,1,0,0,-1
"Thomas Stewart","NO",22,2003-01-06,2003,6.02,187,"D","Barrie Colts",38,3,4,7,0.18,10,0,0,0,0,0,1,0,56,1,0,0,-34
"Madden Steen","NO",5,2004-05-18,2004,6.02,214,"D","Owen Sound Attack",38,2,5,7,0.18,-12,0,0,0,0,0,0,0,25,1,0,0,-25.5
"Nic Whitehead","YES",10,2007-02-11,2007,5.1,154,"C","Ottawa 67's",38,2,5,7,0.18,-3,0,3,0,0,0,0,0,17,1,3,42.9,-8.5
"Wil McFadden","YES",21,2007-02-15,2007,5.08,160,"C","Guelph Storm",39,2,5,7,0.18,0,1,1,0,0,0,0,0,4,1,2,28.6,7.5
"Spencer Evans","YES",16,2006-05-12,2006,5.11,178,"D","Soo Greyhounds",21,1,6,7,0.33,8,0,0,0,0,0,0,0,15,1,0,0,4
"Conor Walton","YES",28,2006-04-22,2006,6.04,208,"D","Windsor Spitfires",35,1,6,7,0.2,-9,0,0,0,2,2,1,0,16,1,0,0,-14
"Wyatt Kennedy","NO",2,2005-05-27,2005,6.04,198,"D","North Bay Battalion",39,1,6,7,0.18,-14,0,0,0,0,0,1,0,16,1,0,0,-19
"Ryan McGuire","NO",12,2004-02-29,2004,5.11,186,"C","Guelph Storm",39,1,6,7,0.18,-4,0,2,0,0,0,0,0,75,1,2,28.6,-68
"Brayden Hislop","NO",6,2003-09-26,2003,6.01,181,"D","Guelph Storm",41,1,6,7,0.17,-8,0,4,0,0,0,1,0,36,1,4,57.1,-33
"Chandler Romeo","NO",17,2003-07-16,2003,6.06,205,"D","Guelph Storm",41,1,6,7,0.17,15,0,0,0,1,1,0,0,37,1,0,0,-11
"Maleek McGowan","NO",11,2005-06-13,2005,5.11,164,"D","Kingston Frontenacs",35,0,7,7,0.2,0,0,2,0,0,0,0,0,26,1,2,28.6,-15.5
"Stevie Leskovar","NO",4,2004-09-09,2004,6.03,207,"D","Mississauga Steelheads",38,0,7,7,0.18,8,0,0,0,0,0,0,0,80,1,0,0,-61.5
"Cal Uens","NO",44,2005-02-11,2005,5.09,159,"D","Kingston Frontenacs",38,0,7,7,0.18,-14,0,2,0,1,1,0,0,45,1,2,28.6,-48.5
"William Eggleton","YES",18,2006-02-19,2006,5.11,174,"LW","Mississauga Steelheads",37,4,2,6,0.16,0,0,0,0,0,0,0,1,24,1,0,0,-13
"Charlie Hilton","YES",21,2006-09-15,2006,6.05,196,"LW","Ottawa 67's",29,3,3,6,0.21,-2,0,0,0,0,0,0,0,29,1,0,0,-20.5
"Jack Brauti","YES",6,2006-05-24,2006,6,165,"D","Barrie Colts",33,3,3,6,0.18,-7,1,0,0,0,0,0,0,46,1,1,16.7,-42.5
"Tyler Hopkins","YES",91,2007-01-23,2007,6.01,160,"C","Kingston Frontenacs",33,3,3,6,0.18,-16,0,0,0,1,1,0,0,13,1,0,0,-18.5
"Hunter McKenzie","NO",14,2006-12-07,2006,6,190,"LW","Guelph Storm",36,3,3,6,0.17,-2,0,0,0,0,0,0,0,13,1,0,0,-4.5
"Masen Wray","NO",71,2006-05-15,2006,6.03,177,"C","Niagara IceDogs",36,3,3,6,0.17,-5,0,0,0,1,1,2,0,10,1,0,0,-4.5
"Tuomas Uronen","NO",13,2005-03-19,2005,6,194,"RW","Ottawa 67's",11,2,4,6,0.55,4,0,1,0,0,0,0,0,0,1,1,16.7,14
"Olivier Savard","NO",34,2005-01-14,2005,6.02,196,"RD","Kitchener Rangers",34,2,4,6,0.18,3,0,0,0,1,1,0,1,21,1,0,0,-8
"Cam Gauvreau","NO",3,2003-03-08,2003,6.02,190,"D","Peterborough Petes",33,1,5,6,0.18,-15,1,0,0,0,0,0,0,31,1,1,16.7,-36.5
"Josh Brady","YES",3,2006-01-11,2006,6,191,"D","Ottawa 67's",34,1,5,6,0.18,1,0,0,0,0,0,0,0,14,1,0,0,-3.5
"Reed Gee","NO",8,2006-03-12,2006,6,178,"D","Mississauga Steelheads",26,0,6,6,0.23,1,0,0,0,0,0,0,0,35,1,0,0,-25
"Luke Dragusica","YES",23,2007-02-16,2007,6.01,165,"D","Mississauga Steelheads",31,0,6,6,0.19,12,0,0,0,0,0,0,0,32,1,0,0,-11
"Jack Nesbitt","YES",71,2007-01-12,2007,6.04,183,"C","Windsor Spitfires",30,4,1,5,0.17,-17,1,0,0,0,0,0,0,35,1,1,20,-42.5
"Vann Williamson","NO",27,2006-07-19,2006,6.02,162,"D","Kingston Frontenacs",23,3,2,5,0.22,-1,0,0,0,0,0,0,0,13,1,0,0,-5
"Carson Hall","YES",10,2006-04-29,2006,6.02,183,"LW","Sarnia Sting",26,3,2,5,0.19,-6,0,1,0,0,0,0,0,11,1,1,20,-8
"Zackary Sandhu","NO",72,2005-12-20,2005,6.01,195,"D","Oshawa Generals",31,3,2,5,0.16,5,0,0,0,0,0,1,0,29,1,0,0,-15
"Markas Samenas","NO",42,2004-02-02,2004,6.05,215,"LW","Flint Firebirds",37,3,2,5,0.14,-9,0,1,0,0,0,0,0,21,1,1,20,-21
"Pasquale Zito","NO",73,2003-06-01,2003,5.11,184,"C","Windsor Spitfires",1,2,3,5,5,0,1,1,0,0,0,0,0,0,1,2,40,8.5
"Adam Cavallin","NO",37,2005-03-04,2005,5.11,182,"C","Kingston Frontenacs",28,2,3,5,0.18,0,0,0,0,0,0,0,0,11,1,0,0,-2.5
"Kieran Witkowski","YES",26,2007-02-07,2007,5.1,165,"LW","Mississauga Steelheads",32,2,3,5,0.16,-3,0,0,0,0,0,0,0,4,1,0,0,1.5
"Henry Brzustewicz","YES",2,2007-02-09,2007,6.01,194,"D","London Knights",35,2,3,5,0.14,6,0,0,0,0,0,1,0,12,1,0,0,2.5
"Kimi Körbler","YES",24,2006-09-25,2006,5.1,157,"RW","Ottawa 67's",35,1,4,5,0.14,-3,0,0,1,0,1,0,0,6,1,0,0,-1
"Jimmy Lombardi","YES",10,2007-02-16,2007,5.11,149,"C","Flint Firebirds",38,1,4,5,0.13,-18,0,1,0,0,0,0,0,8,1,1,20,-18
"Braedyn Rogers","NO",2,2006-11-22,2006,6,169,"D","Owen Sound Attack",40,1,4,5,0.13,-12,0,1,0,0,0,0,0,10,1,1,20,-14
"Callum Cheynowski","NO",7,2006-08-04,2006,6.01,191,"D","Niagara IceDogs",26,0,5,5,0.19,-2,0,0,0,0,0,0,0,4,1,0,0,1.5
"Jared Woolley","NO",51,2006-02-27,2006,6.04,214,"D","London Knights",18,3,1,4,0.22,4,0,1,0,0,0,0,0,8,1,1,25,3.5
"Josef Eichler","NO",5,2005-12-14,2005,6,192,"D","Windsor Spitfires",37,3,1,4,0.11,-14,0,0,0,0,0,0,0,65,1,0,0,-71.5
"Nico Addy","YES",22,2007-08-17,2007,6.04,213,"RW","Peterborough Petes",31,2,2,4,0.13,-11,0,0,0,0,0,0,0,18,1,0,0,-22
"Dennis Lominac","YES",93,2006-01-11,2006,5.1,168,"LW","Sarnia Sting",34,2,2,4,0.12,-12,0,0,0,0,0,0,0,36,1,0,0,-41
"Matthew Wang","NO",28,2005-08-22,2005,6.02,200,"LW","Flint Firebirds",35,2,2,4,0.11,-4,0,0,0,0,0,0,0,23,1,0,0,-20
"Will Bishop","NO",4,2005-03-17,2005,6.06,200,"D","Saginaw Spirit",39,2,2,4,0.1,-3,0,0,0,0,0,0,0,18,1,0,0,-14
"Lucas Signoretti","NO",16,2004-03-30,2004,5.06,168,"LW","Sudbury Wolves",10,1,3,4,0.4,2,1,0,0,0,0,0,0,2,1,1,25,6.5
"William Stewart","NO",20,2005-02-23,2005,6.02,180,"RW","Niagara IceDogs",19,1,3,4,0.21,2,0,0,0,1,1,1,0,6,1,0,0,2.5
"Liam Storch","NO",21,2006-01-20,2006,5.09,145,"RW","Saginaw Spirit",22,1,3,4,0.18,-4,0,0,0,0,0,0,0,4,1,0,0,-1.5
"Antonio Tersigni","NO",37,2006-05-03,2006,5.1,171,"C","Owen Sound Attack",24,1,3,4,0.17,-10,0,0,0,0,0,0,0,4,1,0,0,-7.5
"Justin DeZoete","NO",11,2004-01-02,2004,6,192,"LW","Soo Greyhounds",32,1,3,4,0.13,-3,0,0,0,0,0,0,0,13,1,0,0,-9.5
"Nathan Sauder","NO",5,2005-02-01,2005,6.01,199,"D","Erie Otters",36,1,3,4,0.11,-1,0,0,0,0,0,0,0,34,1,0,0,-28.5
"MacGregor Richmond","YES",78,2006-08-06,2006,5.09,180,"RW","Mississauga Steelheads",38,1,3,4,0.11,-11,0,1,0,0,0,0,0,25,1,1,25,-29.5
"Josh Bloom","NO",17,2003-06-08,2003,6.02,185,"LW","Saginaw Spirit",5,0,4,4,0.8,3,0,1,0,0,0,0,0,2,1,1,25,7
"Thomas Sirman","NO",6,2004-03-05,2004,5.1,178,"D","Ottawa 67's",11,0,4,4,0.36,-1,0,0,0,0,0,0,0,9,1,0,0,-4
"Daniel Chen","YES",27,2006-08-04,2006,6.04,186,"D","Brantford Bulldogs",24,0,4,4,0.17,-15,0,0,0,0,0,0,0,10,1,0,0,-19
"Lane Sim","YES",92,2007-05-09,2007,5.07,160,"LW","Sarnia Sting",25,0,4,4,0.16,-5,0,0,0,0,0,0,0,2,1,0,0,-1
"Parker Snelgrove","YES",9,2007-01-20,2007,6,175,"C","Guelph Storm",30,0,4,4,0.13,-5,0,0,0,0,0,0,0,10,1,0,0,-9
"Derek Smyth","NO",2,2004-04-17,2004,6.05,212,"D","Ottawa 67's",32,0,4,4,0.13,-8,0,1,0,0,0,0,0,26,1,1,25,-28
"Connor Toms","NO",52,2004-03-13,2004,5.11,174,"D","Windsor Spitfires",33,0,4,4,0.12,-33,0,0,0,0,0,0,0,19,1,0,0,-46
"Bradley Horner","NO",5,2005-06-16,2005,6,192,"D","Ottawa 67's",34,0,4,4,0.12,-1,0,0,0,0,0,0,0,20,1,0,0,-15
"Carson Campbell","NO",8,2006-06-08,2006,6.01,180,"RD","Kitchener Rangers",38,0,4,4,0.11,-3,0,0,0,0,0,0,0,14,1,0,0,-11
"Gabriel Chiarot","YES",20,2006-09-17,2006,5.11,184,"RW","Mississauga Steelheads",20,2,1,3,0.15,-3,0,0,0,0,0,0,0,8,1,0,0,-5.5
"Brodie McConnell-Barker","YES",8,2006-01-31,2006,6,180,"D","Soo Greyhounds",21,2,1,3,0.14,2,0,0,0,0,0,0,0,14,1,0,0,-6.5
"Matheas Stark","YES",28,2007-01-14,2007,6,161,"LW","Kitchener Rangers",26,2,1,3,0.12,3,0,0,0,0,0,2,0,0,1,0,0,8.5
"Ethan Toms","NO",61,2006-01-19,2006,5.11,175,"C","Oshawa Generals",31,2,1,3,0.1,-1,0,1,0,0,0,0,0,16,1,1,33.3,-11.5
"Ryder Boulton","YES",11,2006-06-21,2006,5.1,194,"LW","London Knights",32,2,1,3,0.09,-6,0,0,0,0,0,0,0,49,1,0,0,-49.5
"Ryan Pryce","NO",74,2004-02-06,2004,6.02,197,"LD","Sudbury Wolves",18,1,2,3,0.17,6,1,0,0,0,0,0,0,10,1,1,33.3,1
"Tomislav Brennan","NO",19,2005-03-15,2005,6,171,"C","Owen Sound Attack",26,1,2,3,0.12,-4,0,0,0,0,0,0,0,15,1,0,0,-14
"Martin Matejicek","NO",5,2005-08-05,2005,6.02,207,"D","Peterborough Petes",39,1,2,3,0.08,-7,0,0,0,0,0,0,0,14,1,0,0,-16
"Chase Yanni","YES",16,2007-01-08,2007,5.1,171,"LW","Ottawa 67's",5,0,3,3,0.6,-1,0,0,0,0,0,0,0,6,1,0,0,-2.5
"Owen MacDonald","NO",6,2004-08-28,2004,6.01,188,"D","Sarnia Sting",22,0,3,3,0.14,-9,0,0,0,0,0,0,0,28,1,0,0,-32.5
"Rylan Singh","YES",5,2007-10-04,2007,5.11,164,"D","Guelph Storm",26,0,3,3,0.12,2,0,2,0,0,0,0,0,7,1,2,66.7,-0.5
"Rowan Topp","YES",3,2006-04-02,2006,6.02,195,"D","Guelph Storm",37,0,3,3,0.08,-4,0,0,0,0,0,0,0,14,1,0,0,-13.5
"Brayden Turley","NO",7,2006-08-08,2006,6.01,193,"D","North Bay Battalion",37,0,3,3,0.08,1,0,0,0,0,0,0,0,16,1,0,0,-10.5
"Rylan Fellinger","YES",65,2007-05-16,2007,6.03,183,"D","Flint Firebirds",38,0,3,3,0.08,-7,0,0,0,0,0,0,0,6,1,0,0,-8.5
"Hughston Hurt","YES",72,2007-07-10,2007,6.01,178,"D","Sarnia Sting",40,0,3,3,0.08,-10,0,0,0,0,0,0,0,21,1,0,0,-26.5
"Alex Messier","NO",21,2005-03-23,2005,6.03,213,"LW","Erie Otters",33,2,0,2,0.06,-9,0,0,0,0,0,0,0,34,1,0,0,-39
"Michael Derbidge","NO",91,2005-04-04,2005,6.01,199,"LW","Barrie Colts",4,1,1,2,0.5,2,0,0,0,0,0,0,0,6,1,0,0,-0.5
"Jack Greenwell","YES",10,2005-01-05,2005,6,172,"RW","Windsor Spitfires",13,1,1,2,0.15,-9,0,0,0,0,0,0,0,0,1,0,0,-5.5
"Tate Vader","YES",9,2006-01-09,2006,5.11,183,"C","Soo Greyhounds",16,1,1,2,0.13,2,0,0,0,0,0,0,0,0,1,0,0,5.5
"Blair Scott","NO",7,2005-04-14,2005,6.01,185,"LD","Barrie Colts",17,1,1,2,0.12,0,0,0,0,0,0,0,0,9,1,0,0,-5.5
"Sawyer Boulton","NO",36,2004-07-12,2004,6,210,"RW","London Knights",20,1,1,2,0.1,-10,0,0,0,0,0,0,0,35,1,0,0,-41.5
"Nolan Laird","YES",19,2006-01-04,2006,6.01,180,"C","North Bay Battalion",22,1,1,2,0.09,-2,0,0,0,0,0,0,0,6,1,0,0,-4.5
"Ethan Martin","NO",72,2005-03-25,2005,6.06,226,"C","Windsor Spitfires",28,1,1,2,0.07,-8,0,0,0,0,0,0,0,28,1,0,0,-32.5
"Daks Klinkhammer","NO",73,2005-08-14,2005,6,197,"LW","Flint Firebirds",31,1,1,2,0.06,-8,0,0,0,0,0,0,0,13,1,0,0,-17.5
"Brett Hammond","YES",91,2006-09-08,2006,6.02,188,"RW","Erie Otters",37,1,1,2,0.05,-13,0,0,0,0,0,0,0,12,1,0,0,-21.5
"William Haley","NO",17,2005-10-15,2005,6,177,"D","Peterborough Petes",18,0,2,2,0.11,-3,0,0,0,0,0,0,0,15,1,0,0,-15
"Trevor McDowell","NO",12,2004-07-31,2004,6.04,205,"D","North Bay Battalion",19,0,2,2,0.11,-1,0,0,0,0,0,0,0,4,1,0,0,-2
"Jaiden Newton","YES",84,2007-10-13,2007,5.11,167,"C","Barrie Colts",21,0,2,2,0.1,-3,0,0,0,0,0,0,0,9,1,0,0,-9
"Dylan Tsherna","YES",18,2007-02-22,2007,5.11,171,"RW","Brantford Bulldogs",21,0,2,2,0.1,-3,0,0,0,0,0,0,0,12,1,0,0,-12
"Josh Glavin","NO",5,2006-09-24,2006,6.02,190,"D","Saginaw Spirit",25,0,2,2,0.08,3,0,0,0,0,0,0,0,46,1,0,0,-40
"Tanner Winegard","NO",91,2005-01-11,2005,6.06,221,"D","Windsor Spitfires",25,0,2,2,0.08,-12,0,0,0,0,0,0,0,14,1,0,0,-23
"James Guo","NO",73,2005-04-02,2005,6.01,190,"D","Saginaw Spirit",29,0,2,2,0.07,-5,0,1,0,0,0,0,0,8,1,1,50,-10
"Noah Roberts","NO",7,2005-12-02,2005,6.01,190,"D","Brantford Bulldogs",30,0,2,2,0.07,4,0,0,0,0,0,0,0,43,1,0,0,-36
"Grayden Strohack","YES",6,2006-06-09,2006,6.03,183,"D","Peterborough Petes",32,0,2,2,0.06,-5,0,0,0,0,0,0,0,32,1,0,0,-34
"Owen Griffin","YES",96,2007-04-08,2007,5.1,157,"C","Oshawa Generals",33,0,2,2,0.06,-12,0,0,0,0,0,0,0,4,1,0,0,-13
"Brennan Faulkner","NO",28,2005-12-28,2005,5.1,161,"LW","Peterborough Petes",36,0,2,2,0.06,-14,0,1,0,0,0,0,0,6,1,1,50,-17
"Max Dirracolo","YES",25,2006-06-29,2006,6.04,216,"LD","Kitchener Rangers",5,1,0,1,0.2,1,0,0,0,0,0,0,0,2,1,0,0,1
"Georgy Toroptsev","YES",8,2006-04-22,2006,6,179,"LW","Erie Otters",18,1,0,1,0.06,-2,0,0,0,0,0,0,0,11,1,0,0,-11
"Wesley Royston","YES",77,2007-11-22,2007,6.03,174,"RW","Erie Otters",27,1,0,1,0.04,-6,0,0,0,0,0,0,0,13,1,0,0,-17
"Brody Partridge","YES",11,2006-09-14,2006,5.09,162,"C","Peterborough Petes",37,1,0,1,0.03,-13,0,0,0,0,0,0,0,9,1,0,0,-20
"Quinn Beauchesne","YES",13,2007-03-01,2007,6,172,"D","Guelph Storm",11,0,1,1,0.09,0,0,1,0,0,0,0,0,12,1,1,100,-10.5
"Lucas Rodriguez","YES",26,2006-04-26,2006,6.02,183,"D","Oshawa Generals",15,0,1,1,0.07,4,0,0,0,0,0,0,0,6,1,0,0,-0.5
"Ryan Struthers","NO",26,2004-01-02,2004,6.01,182,"C","Windsor Spitfires",16,0,1,1,0.06,-8,0,0,0,0,0,0,0,11,1,0,0,-17.5
"Devin Mauro","NO",23,2004-06-06,2004,5.08,165,"LW","Sudbury Wolves",18,0,1,1,0.06,-1,0,0,0,0,0,0,0,4,1,0,0,-3.5
"Liam Ladds","YES",8,2007-10-28,2007,6.01,151,"D","Peterborough Petes",21,0,1,1,0.05,-7,0,0,0,0,0,0,0,4,1,0,0,-9.5
"Evan Passmore","YES",88,2006-12-05,2006,6.03,198,"D","Barrie Colts",23,0,1,1,0.04,3,0,0,0,0,0,0,0,24,1,0,0,-19.5
"Duncan Schneider","NO",44,2005-07-05,2005,6.02,201,"D","Sarnia Sting",25,0,1,1,0.04,-5,0,0,0,0,0,0,0,25,1,0,0,-28.5
"Nicholas Holomego","YES",65,2006-05-19,2006,6.05,202,"D","Erie Otters",27,0,1,1,0.04,-7,0,0,0,0,0,0,0,11,1,0,0,-16.5
"Brayden Velliaris","NO",25,2005-04-16,2005,6.02,205,"D","Peterborough Petes",27,0,1,1,0.04,-4,0,0,0,0,0,0,0,26,1,0,0,-28.5
"Ty Henry","YES",2,2006-07-19,2006,6.04,198,"D","Erie Otters",28,0,1,1,0.04,-4,0,0,0,0,0,0,0,14,1,0,0,-16.5
"Jonathon Pylypuik","NO",18,2006-03-25,2006,6.01,163,"C","Oshawa Generals",28,0,1,1,0.04,-6,0,0,0,0,0,0,0,21,1,0,0,-25.5
"Dylan Woulds","YES",24,2006-03-28,2006,6,196,"D","Peterborough Petes",32,0,1,1,0.03,0,0,0,0,0,0,0,0,6,1,0,0,-4.5
"Quinn Binnie","NO",27,2004-04-29,2004,6,198,"RW","Peterborough Petes",36,0,1,1,0.03,-12,0,0,0,0,0,0,0,11,1,0,0,-21.5
"Casey Bridgewater","NO",17,2007-02-07,2007,5.1,168,"D","Sarnia Sting",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0
"Wyatt Jinman","YES",21,2007-10-11,2007,6.02,160,"LW","Mississauga Steelheads",3,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,NA,-1
"Kaleb Dietsch","NO",4,2007-01-03,2007,6.02,176,"D","Ottawa 67's",5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,1
"Xander Velliaris","NO",77,2007-04-23,2007,6.03,185,"D","Kingston Frontenacs",5,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,NA,-1
"Sam Ethier","YES",36,2006-08-09,2006,6,187,"D","Owen Sound Attack",6,0,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,NA,-3
"Ethan MacKinnon","NO",17,2003-05-22,2003,6.01,179,"D","London Knights",6,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,NA,-4
"Grant Spada","YES",8,2007-06-24,2007,6.05,186,"D","Guelph Storm",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0
"Gabriel Smith","YES",38,2007-01-01,2007,6.03,197,"D","Owen Sound Attack",7,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,NA,-2
"Justin Handsor","NO",24,2007-09-24,2007,6.01,185,"D","Barrie Colts",10,0,0,0,0,-4,0,0,0,0,0,0,0,2,1,0,NA,-6
"Alec Stewart","NO",25,2005-04-02,2005,5.11,170,"C","Windsor Spitfires",10,0,0,0,0,-5,0,0,0,0,0,0,0,2,1,0,NA,-7
"Max Anderson","YES",22,2007-07-18,2007,5.09,145,"C","Flint Firebirds",11,0,0,0,0,-3,0,0,0,0,0,0,0,9,1,0,NA,-12
"Stef Forgione","NO",28,2005-04-29,2005,5.1,175,"RW","North Bay Battalion",12,0,0,0,0,-3,0,0,0,0,0,0,0,13,1,0,NA,-16
"Caeden Heins","YES",44,2006-02-06,2006,6.01,172,"LW","Oshawa Generals",21,0,0,0,0,-4,0,0,0,0,0,0,0,4,1,0,NA,-8
"Fraser McDonell","NO",6,2006-03-02,2006,6.07,215,"D","Oshawa Generals",22,0,0,0,0,-10,0,0,0,0,0,0,0,14,1,0,NA,-24
"Adrian Rebelo","NO",74,2004-06-22,2004,6.02,186,"LW","Brantford Bulldogs",22,0,0,0,0,-5,0,0,0,0,0,0,0,15,1,0,NA,-20
"Joseph Cadorin","YES",16,2007-03-29,2007,5.11,144,"LW","Peterborough Petes",29,0,0,0,0,-10,0,0,0,0,0,0,0,10,1,0,NA,-20
"Chris O'Flaherty","NO",77,2005-03-12,2005,6.01,204,"LW","London Knights",16,0,4,4,0.25,0,0,0,0,0,0,0,0,2,1,0,0,4
